Id,Entry word,Word type,Translation,Description,Published?,Created at,Updated at,Image file name,Image content type,Image file size,Image updated at,Audio file name,Audio content type,Audio file size,Audio updated at,Extras,Display order,Sentence,Sentence translation,Scientific name,Admin only notes,Call audio file name,Call audio content type,Call audio file size,Call audio updated at,Sentence audio file name,Sentence audio content type,Sentence audio file size,Sentence audio updated at
172,test,"","","",false,2017-03-23 07:24:15,2017-03-23 07:24:15,blue-tongue.gif,image/gif,222041,2017-03-23 07:24:13,,,,,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,"","","","",,,,,,,,
170,tyewaketye,noun,Grey-crowned Babbler,"",true,2016-08-15 01:08:26,2016-08-15 01:08:26,grey-crowned-babbler-julian-robinson.jpg,image/jpeg,76064,2016-08-15 01:08:24,grey-crowned-babbler-K.mp3,audio/mp3,245430,2016-08-15 01:08:26,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,Tyewaketye nyartepe thangkerne artetyele arre anenke. Thangkerne nyartepe errpwerle kape arltere. Tyewaketyelepe aynenke wantakerrertetye kelye-kelye.,This is a black and white bird which lives and can be found in the mulga country. This bird eats little insects that lives in mulga area.,Pomatostomus temporalis,"",3_Grey-crowned_Babbler_(rubeculus)(group_at_nest).mp3,audio/mp3,586220,2016-08-15 01:08:26,,,,
169,therre-therre,noun,Willie Wagtail,"",true,2016-08-15 01:06:10,2016-08-15 01:06:10,WillWagtailYudumuMile301207003BG.JPG,image/jpeg,1920405,2016-08-15 01:06:07,willie-wagtail-K.mp3,audio/mp3,224952,2016-08-15 01:06:10,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,Therre-therre nyartepe thangkerne kelye errpwerle kwenenge arnalke angkwerrepe arltere. Thangkerne nyartelepe aynenke wantakerrertetye kelye-kelye. Thangkerne nyartepe ntyarlkwele anteyane.,The willie wagtail is a little black bird with white under its chest. This bird eats grasshoppers and other little insects. Its home is a (hanging) nest up high in the branches.,Rhipidura leucophrys,"",18_Willie_Wagtail_(leucophrys)(song___chitter).mp3,audio/mp3,1080457,2016-08-15 01:06:10,,,,
168,rtwere,noun,Red-backed Kingfisher,"",true,2016-08-15 01:03:41,2016-08-15 01:03:41,rtwere_BG.JPG,image/jpeg,1918048,2016-08-15 01:03:38,red-backed-kingfisher-K.mp3,audio/mp3,240325,2016-08-15 01:03:41,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,Rtwere angkenke awennngarre angenke ketye.,When the kingfisher sings it's telling you to dig a grave.,Todiramphus pyrrhopygius,"",17_Red-backed_Kingfisher_('keeurp'_-_advertising_call).mp3,audio/mp3,1106580,2016-08-15 01:03:41,,,,
167,pwelerrnge,noun,Southern Boobook,"",true,2016-08-15 01:01:04,2016-08-15 01:01:04,southern-boobook-julian-robinson.jpg,image/jpeg,134397,2016-08-15 01:01:03,southern-boobook-K.mp3,audio/mp3,245848,2016-08-15 01:01:04,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,"Pwelerrngepe thangkerne ware elpalhapenye, rlwe atherrepe alkenhe. Thangkerne nyartepe atnkwarengele aperrane. Pwelerrngelepe aynenke ilkwennge, kape wantakekerretetye kelye-kelye atnkwarenge, aperrane.",The southern boobook owl is a grey bird with big eyes; it hunts for food at night. This bird eats mice and other little animals and insects that come out at night.,Ninox novaeseelandiae,"",16_Southern_Boobook_(two_birds_calling).mp3,audio/mp3,861029,2016-08-15 01:01:04,,,,
166,ngimarre,noun,Zebra Finch,"",true,2016-08-15 00:57:48,2016-08-15 00:57:48,waring-zebra-finch-01.jpg,image/jpeg,214382,2016-08-15 00:57:46,zebra-finch-K.mp3,audio/mp3,189752,2016-08-15 00:57:48,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,"Ngimarrepe thangkerne kelye arlkenye kape intetyeng-intetye. Ngimarrelepe aynenke nterrenge kape arntwe kwathenke. Ahepertewepe ngimarrepe arenke makwerle arntwe warle karrarrenke ngewarlengarle ngentye arle. Thangkerne nyartepe ntyarlkwele anteyane, arwe",The zebra finch is a little bird which has spots and stripes. It eats seeds and drinks water. In the summer months you can see the zebra finch in flocks of hundreds gathering to one waterhole. This bird lives in a nest high up in trees which it makes out ,Taeniopygia guttata,"",15_Zebra_Finch_(flock_near_waterhole).mp3,audio/mp3,705339,2016-08-15 00:57:48,,,,
165,nganke,noun,crow,"",true,2016-08-15 00:55:06,2016-08-15 00:55:06,waring-torresian-crow-01.jpg,image/jpeg,206599,2016-08-15 00:54:58,torresian-crow-K.mp3,audio/mp3,172234,2016-08-15 00:55:06,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations:
- Torresian Crow, Little Crow
alternate_spellings: []
",,"Ngankelepe aynenke weye, rlwene kape wantakerrertetye kwetyengele. Nganke nyartepe anteyane errwele ntyarlkwe kwereyengelke.","The crow eats just about every food scrap and little things it can find. This bird lives in a nest which is made from twigs, sticks and leaves.","Corvus orru, Corvus bennetti","",14_Torresian_Crow_(variation_of_'urgh').mp3,audio/mp3,736686,2016-08-15 00:55:06,,,,
164,kwerte-kwerte,noun,Spotted Nightjar,"",true,2016-08-15 00:51:22,2016-08-15 00:51:22,spotted-nightjar-patrick-coin.jpg,image/jpeg,86120,2016-08-15 00:51:21,spotted-nightjar-K.mp3,audio/mp3,150976,2016-08-15 00:51:21,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,"Kwerte-kwerte nyartepe thangkerne errpwerle kape arne apenye intetyeng-intetye. Thangkerne nyartepe arlpankele arwelele anteyane kape athenge tyampe. Thangkerne nyartelepe aynenke perrkaltye, ayepayte kape nterrenge. Atnkwarengele angkenke kwerte-kwerte k","The nightjar is a black bird with brown spots. This bird lives on the plains or under trees and grass. It eats grasshoppers, caterpillars and seeds. At night it calls kwerte-kwerte, kwerte-kwerte, kwerte-kwerte.",Eurostopodus argus,"",25_Spotted_Nightjar_(advertising_call_-_AM).mp3,audio/mp3,1011494,2016-08-15 00:51:21,,,,
163,akngkwene,noun,Major Mitchell's Cockatoo,"",true,2016-08-15 00:41:13,2016-08-15 00:41:13,major-mitchell-cockatoo-julian-robinson-01.jpg,image/jpeg,138493,2016-08-15 00:41:11,major-mitchells-cockatoo-K.mp3,audio/mp3,305109,2016-08-15 00:41:13,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,"Akngkwenelepe aynenke nterrenge arwele arenye kape athe arenye. Thangkerne nyartepe arltere paympelhe errwelenge, kwenengepe rntere-rntere. Thangkerne nyartepe arlpankele anteyane kwarte akake kape akwerrke akakepe anenke arwele ilperele. Nyartepe thangke","The Major Mitchell's cockatoo eats seeds from trees, plants and grass. It has white feathers and its wings are white over the top, but red or dark pink down the bottom. It lives in the plains and only nests in a tree hollow when it has eggs or babies. Thi",Cacatua leadbeateri,"",37_Major_Mitchell's_Cockatoo_(two_adults_calling).mp3,audio/mp3,718922,2016-08-15 00:41:13,,,,
162,tyengaytey-ayteye,noun,Pallid Cuckoo,"",true,2016-08-15 00:36:27,2016-08-15 00:36:27,Pallid_Cuckoo_2013_06_13_Frederick_Blakeley_memorial_01.jpg,image/jpeg,285379,2016-08-15 00:36:25,pallid-cuckoo-K.mp3,audio/mp3,305945,2016-08-15 00:36:26,"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
alternate_translations: []
alternate_spellings: []
",,Ilalthewe aherlaynterane tyengayteyayteyele. Tyengayteyayteye errelewe aharlaynterane. Lwematnewethe atherrkenyele.,The pallid cuckoo tells you when march flies are around. The pallid cuckoo hollers that all the grasses will be green.,Cacomantis pallidus,"",26_Pallid_Cuckoo_(AM_-_advertising_call).mp3,audio/mp3,1064784,2016-08-15 00:36:26,,,,
